,index,lat,long,date,time
90,3399,40.81350705,-74.07434417766939,2019-11-10,13:00
91,1841,40.44671645,-80.01575493349428,2019-11-10,16:25
92,597,44.500988500000005,-88.06102055468037,2019-11-10,16:25
93,271,39.0954645,-84.5160488350198,2019-11-10,13:00
94,3643,41.5060559,-81.69971184525946,2019-11-10,13:00
95,1992,27.97597925,-82.50421799673616,2019-11-10,13:00
96,3735,36.16649655,-86.77126444208471,2019-11-10,13:00
97,1379,41.86245145,-87.61671514704074,2019-11-10,13:00
98,3886,37.7539702,-122.1972051,2019-11-07,20:20
99,3398,40.81350705,-74.07434417766939,2019-11-04,20:15
100,1840,40.44671645,-80.01575493349428,2019-11-03,13:00
101,2991,51.555983850000004,-0.2795789182814012,2019-11-03,09:30
102,2686,35.2257363,-80.85388172071353,2019-11-03,13:00
103,3767,42.7737131,-78.78690321060253,2019-11-03,13:00
104,3885,37.7539702,-122.1972051,2019-11-03,16:05
105,3894,39.743952,-105.01922281236835,2019-11-03,16:25
106,2552,39.2779664,-76.62380930835468,2019-11-03,20:20
107,3589,47.5953459,-122.33164431196111,2019-11-03,16:05
108,803,39.04894045,-94.48300340048719,2019-11-03,13:00
109,2410,39.9009099,-75.16748915605905,2019-11-03,13:00
110,3829,25.95790315,-80.23884973967523,2019-11-03,13:00
111,3858,41.8845767,-87.651809,2019-11-03,16:25
112,1839,40.44671645,-80.01575493349428,2019-10-28,20:15
113,802,39.04894045,-94.48300340048719,2019-10-27,20:20
114,3691,37.40303995,-121.96968170505542,2019-10-27,16:05
115,2199,42.091252600000004,-71.2644646105907,2019-10-27,16:25
116,3879,30.3257534,-81.6449938,2019-10-27,13:00
117,2990,51.555983850000004,-0.2795789182814012,2019-10-27,13:00
118,3766,42.7737131,-78.78690321060253,2019-10-27,13:00
119,3067,39.760085000000004,-86.16370379467308,2019-10-27,13:00
120,3734,36.16649655,-86.77126444208471,2019-10-27,13:00
121,3868,33.755396250000004,-84.40081568080012,2019-10-27,13:00
122,1378,41.86245145,-87.61671514704074,2019-10-27,13:00
123,3397,40.81350705,-74.07434417766939,2019-10-21,20:15
124,596,44.500988500000005,-88.06102055468037,2019-10-20,13:00
125,3733,36.16649655,-86.77126444208471,2019-10-20,16:05
126,270,39.0954645,-84.5160488350198,2019-10-20,13:00
127,3765,42.7737131,-78.78690321060253,2019-10-20,13:00
128,3867,33.755396250000004,-84.40081568080012,2019-10-20,13:00
129,3588,47.5953459,-122.33164431196111,2019-10-20,16:25
130,1377,41.86245145,-87.61671514704074,2019-10-20,16:25
